GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.service.impl,LivroServiceImpl,0,181,0,8,0,41,0,13,0,9
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.mapper,LivroMapperImpl,5,111,3,3,3,30,3,4,0,4
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.enun,GeneroEnum,0,51,0,0,0,9,0,1,0,1
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.controller,LivroController,0,41,0,0,0,7,0,5,0,5
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.exception,NegocioException,0,10,0,0,0,4,0,2,0,2
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.exception,GlobalExceptionHandler,12,49,1,1,2,11,2,4,1,4
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.dto,ErroResponse,0,12,0,0,0,1,0,1,0,1
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.dto,LivroRequest,1,33,1,3,0,2,1,3,0,2
biblioteca-sicredi-v3,br.com.sicredi.biblioteca,BibliotecaApplication,5,3,0,0,2,1,1,1,1,1
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.config,DataLoader,0,108,0,2,0,47,0,2,0,1
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.config,RedisEmbeddedConfig,15,7,1,1,4,3,2,2,1,2
biblioteca-sicredi-v3,br.com.sicredi.biblioteca.config,AppConfig,72,7,0,0,14,2,4,2,4,2
